incident_id,facility_id,location,incident_datetime,incident_type,description,equipment_id,hazard_id,involved_employee_id,involved_contractor_id,injury_status,potential_consequence,initial_severity,immediate_action,investigation_status,root_cause_category,related_risk_register_id,reported_by_employee_id,reported_at,closure_status,closed_date
INC-0001,FAC-001,"Forklift (Electric) area, FAC-001",2025-08-22 20:45:00,Near Miss,Forklift operator narrowly avoided a pedestrian near Forklift (Electric) traffic lane.,EQ-0003,HAZ-0001,,,None,Struck-by injury or property damage,High,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Maintenance,RISK-0049,EMP-0010,2025-08-23 00:45:00,Closed,2025-09-25
INC-0002,FAC-001,"Forklift (Electric) area, FAC-001",2025-07-28 13:00:00,Near Miss,Forklift operator narrowly avoided a pedestrian near Forklift (Electric) traffic lane.,EQ-0003,HAZ-0001,,,None,Struck-by injury or property damage,High,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0049,EMP-0025,2025-07-28 14:00:00,Closed,2025-08-23
INC-0003,FAC-001,"Forklift (Electric) area, FAC-001",2025-07-29 16:30:00,Near Miss,Forklift struck a storage rack while maneuvering near Forklift (Electric); minor property damage.,EQ-0003,HAZ-0001,,,None,Struck-by injury or property damage,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0049,EMP-0007,2025-07-29 22:30:00,Closed,2025-08-20
INC-0004,FAC-001,"Forklift (Electric) area, FAC-001",2025-12-08 10:30:00,Near Miss,Forklift operator narrowly avoided a pedestrian near Forklift (Electric) traffic lane.,EQ-0003,HAZ-0001,,,None,Struck-by injury or property damage,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Engineering Control,RISK-0049,EMP-0019,2025-12-08 10:30:00,Closed,2026-01-16
INC-0005,FAC-003,"Forklift (Propane) area, FAC-003",2025-03-03 12:15:00,Near Miss,Forklift struck a storage rack while maneuvering near Forklift (Propane); minor property damage.,EQ-0004,HAZ-0002,,,None,Struck-by injury or property damage,Critical,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0045,EMP-0021,2025-03-03 12:15:00,Closed,2025-04-01
INC-0006,FAC-003,"Forklift (Propane) area, FAC-003",2025-11-01 22:15:00,Near Miss,Forklift struck a storage rack while maneuvering near Forklift (Propane); minor property damage.,EQ-0004,HAZ-0002,,,None,Struck-by injury or property damage,Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Training,RISK-0045,EMP-0024,2025-11-02 03:15:00,Closed,2025-11-27
INC-0007,FAC-003,"Forklift (Propane) area, FAC-003",2025-12-04 13:15:00,Near Miss,Forklift operator narrowly avoided a pedestrian near Forklift (Propane) traffic lane.,EQ-0004,HAZ-0002,,,None,Struck-by injury or property damage,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Communication Breakdown,RISK-0045,EMP-0021,2025-12-04 15:15:00,Closed,2025-12-24
INC-0008,FAC-001,"Punch Press area, FAC-001",2025-10-31 15:30:00,Near Miss,Operator found the point-of-operation guard on Punch Press propped open during jam-clearing.,EQ-0001,HAZ-0003,,,None,Amputation or crush injury,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Design Deficiency,RISK-0006,EMP-0016,2025-10-31 16:30:00,Closed,2025-12-05
INC-0009,FAC-001,"Punch Press area, FAC-001",2026-08-17 13:45:00,Unsafe Condition,"Interlock on Punch Press was bypassed, allowing operation with the guard door open.",EQ-0001,HAZ-0003,,,None,Amputation or crush injury,Medium,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Equipment Failure,RISK-0006,EMP-0022,2026-08-17 18:45:00,Open,
INC-0010,FAC-001,"Punch Press area, FAC-001",2026-08-03 18:45:00,Injury,"Interlock on Punch Press was bypassed, allowing operation with the guard door open.",EQ-0001,HAZ-0003,,,First Aid Only,Amputation or crush injury,Medium,First aid administered; area secured; supervisor notified.,Completed,Communication Breakdown,RISK-0006,EMP-0028,2026-08-03 19:45:00,Closed,2026-08-18
INC-0011,FAC-002,"Punch Press area, FAC-002",2025-10-23 17:45:00,Unsafe Condition,"Interlock on Punch Press was bypassed, allowing operation with the guard door open.",EQ-0002,HAZ-0003,,,None,Amputation or crush injury,Low,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Time Pressure / Production Pressure,RISK-0006,EMP-0011,2025-10-23 17:45:00,Closed,2025-11-21
INC-0012,FAC-002,"Punch Press area, FAC-002",2025-07-16 14:00:00,Unsafe Condition,"Interlock on Punch Press was bypassed, allowing operation with the guard door open.",EQ-0002,HAZ-0003,,,None,Amputation or crush injury,Low,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Design Deficiency,RISK-0006,EMP-0014,2025-07-16 15:00:00,Closed,2025-08-14
INC-0013,FAC-002,"Punch Press area, FAC-002",2026-01-09 11:45:00,Injury,Operator found the point-of-operation guard on Punch Press propped open during jam-clearing.,EQ-0002,HAZ-0003,,,First Aid Only,Amputation or crush injury,High,First aid administered; area secured; supervisor notified.,Completed,Inadequate Maintenance,RISK-0006,EMP-0023,2026-01-09 16:45:00,Closed,2026-02-13
INC-0014,FAC-002,"Air Compressor area, FAC-002",2026-05-21 06:00:00,Equipment Failure,Air Compressor failed during production shortly after a delayed preventive maintenance cycle.,EQ-0005,HAZ-0004,,,None,Uncontrolled equipment failure resulting in injury or property damage,High,Equipment shut down and locked out; maintenance notified.,Completed,Inadequate Training,RISK-0046,EMP-0017,2026-05-21 10:00:00,Closed,2026-06-18
INC-0015,FAC-003,"Conveyor System area, FAC-003",2026-01-03 10:45:00,Equipment Failure,Conveyor System failed during production shortly after a delayed preventive maintenance cycle.,EQ-0006,HAZ-0005,,,None,Uncontrolled equipment failure resulting in injury or property damage,Low,Equipment shut down and locked out; maintenance notified.,Completed,Inadequate Engineering Control,RISK-0043,EMP-0027,2026-01-03 16:45:00,Closed,2026-02-04
INC-0016,FAC-002,"Air Compressor area, FAC-002",2025-08-01 22:30:00,Equipment Failure,Air Compressor failed during production shortly after a delayed preventive maintenance cycle.,EQ-0005,HAZ-0004,,,None,Uncontrolled equipment failure resulting in injury or property damage,Medium,Equipment shut down and locked out; maintenance notified.,Completed,Inadequate Maintenance,RISK-0046,EMP-0020,2025-08-02 03:30:00,Closed,2025-08-26
INC-0017,FAC-003,"lockout/tagout violation area, FAC-003",2025-10-17 22:15:00,Near Miss,Contractor from Redline Welding & Fabrication observed performing lockout/tagout (loto)-controlled work without current Lockout/Tagout (LOTO) training on file.,,HAZ-0071,,CTR-0003,None,Severe injury during equipment servicing,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0010,EMP-0003,2025-10-18 04:15:00,Closed,2025-11-23
INC-0018,FAC-003,"Forklift (Electric) area, FAC-003",2026-04-27 11:30:00,Unsafe Condition,Contractor from Redline Welding & Fabrication observed performing lockout/tagout (loto)-controlled work without current Lockout/Tagout (LOTO) training on file.,EQ-0012,HAZ-0073,,CTR-0003,None,Severe injury during equipment servicing,Low,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Design Deficiency,,EMP-0021,2026-04-27 13:30:00,Closed,2026-05-29
INC-0019,FAC-001,"Electrical Distribution Panel area, FAC-001",2026-03-12 10:00:00,Near Miss,Contractor from Redline Welding & Fabrication observed performing confined space entry-controlled work without current Confined Space Entry training on file.,EQ-0027,HAZ-0036,,CTR-0007,None,Asphyxiation or severe injury,Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Design Deficiency,RISK-0015,EMP-0013,2026-03-12 12:00:00,Closed,2026-04-18
INC-0020,FAC-002,"housekeeping / walkway obstruction area, FAC-002",2026-01-12 10:45:00,Near Miss,Contractor from Vantage Industrial Coatings observed performing contractor safety orientation-controlled work without current Contractor Safety Orientation training on file.,,HAZ-0030,,CTR-0011,None,"Slip, trip, or fall injury",Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Human Error,RISK-0014,EMP-0001,2026-01-12 10:45:00,Closed,2026-02-02
INC-0021,FAC-002,"housekeeping / walkway obstruction area, FAC-002",2026-02-04 19:15:00,Unsafe Condition,Contractor from Vantage Industrial Coatings observed performing contractor safety orientation-controlled work without current Contractor Safety Orientation training on file.,,HAZ-0030,,CTR-0011,None,"Slip, trip, or fall injury",Medium,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Time Pressure / Production Pressure,RISK-0014,EMP-0029,2026-02-04 21:15:00,Closed,2026-03-03
INC-0022,FAC-002,"lockout/tagout violation area, FAC-002",2025-03-24 22:15:00,Unsafe Condition,Contractor from Vantage Industrial Coatings observed performing lockout/tagout (loto)-controlled work without current Lockout/Tagout (LOTO) training on file.,,HAZ-0065,,CTR-0014,None,Severe injury during equipment servicing,Medium,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Time Pressure / Production Pressure,,EMP-0026,2025-03-25 03:15:00,Closed,2025-05-02
INC-0023,FAC-002,"Conveyor System area, FAC-002",2026-08-13 15:30:00,Injury,Employee reported skin irritation after contact with cleaning solvent near Conveyor System.,EQ-0011,HAZ-0020,,,Minor Injury - Treated Offsite,Skin/respiratory irritation or burn,Low,First aid administered; area secured; supervisor notified.,In Progress,,,EMP-0023,2026-08-13 21:30:00,Open,
INC-0024,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-04-24 19:45:00,Unsafe Condition,Operator found the point-of-operation guard on Electrical Distribution Panel propped open during jam-clearing.,EQ-0027,HAZ-0075,,,None,Amputation or crush injury,Medium,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Inadequate Maintenance,RISK-0008,EMP-0005,2026-04-25 00:45:00,Closed,2026-05-15
INC-0025,FAC-003,"CNC Machining Center area, FAC-003",2025-03-29 12:15:00,Property Damage,"Rigging inspection near CNC Machining Center found a frayed sling, removed from service.",EQ-0030,HAZ-0037,EMP-0009,,None,Struck-by or crush injury,Medium,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Inadequate Engineering Control,,EMP-0009,2025-03-29 12:15:00,Closed,2025-04-22
INC-0026,FAC-001,"Ventilation / Dust Collection System area, FAC-001",2025-05-04 14:45:00,Near Miss,Pallets stored in the designated walkway near Ventilation / Dust Collection System created an obstruction.,EQ-0010,HAZ-0044,EMP-0016,,None,"Slip, trip, or fall injury",High,Work paused; area inspected; supervisor and EHS notified.,Completed,Communication Breakdown,,EMP-0019,2025-05-04 16:45:00,Closed,2025-06-01
INC-0027,FAC-001,"Industrial Boiler area, FAC-001",2025-09-28 18:30:00,Near Miss,Technician began servicing Industrial Boiler before verifying zero energy state.,EQ-0029,HAZ-0071,,,None,Severe injury during equipment servicing,High,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0010,EMP-0028,2025-09-28 19:30:00,Closed,2025-10-19
INC-0028,FAC-002,"Conveyor System area, FAC-002",2025-02-21 15:15:00,Near Miss,LOTO device was found removed from Conveyor System while work was still in progress.,EQ-0011,HAZ-0045,EMP-0005,,None,Severe injury during equipment servicing,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Time Pressure / Production Pressure,,EMP-0029,2025-02-21 15:15:00,Closed,2025-03-26
INC-0029,FAC-002,"Ventilation / Dust Collection System area, FAC-002",2025-08-19 18:15:00,Near Miss,Employee's sleeve caught briefly on a moving component of Ventilation / Dust Collection System.,EQ-0016,HAZ-0063,EMP-0005,,None,Crush injury or amputation,Critical,Work paused; area inspected; supervisor and EHS notified.,Completed,Design Deficiency,RISK-0038,EMP-0008,2025-08-20 00:15:00,Closed,2025-09-09
INC-0030,FAC-001,"confined space hazard area, FAC-001",2025-03-26 06:15:00,Near Miss,Atmospheric monitoring flagged low oxygen prior to entry near confined space hazard.,,HAZ-0024,EMP-0004,,None,Asphyxiation or severe injury,Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Time Pressure / Production Pressure,,EMP-0004,2025-03-26 06:15:00,Closed,2025-05-05
INC-0031,FAC-003,"CNC Machining Center area, FAC-003",2026-08-07 06:30:00,Injury,Employee reported heat exhaustion symptoms working near CNC Machining Center during a summer shift.,EQ-0030,HAZ-0031,EMP-0027,,Minor Injury - Treated Offsite,Heat exhaustion or heat stroke,Low,First aid administered; area secured; supervisor notified.,In Progress,,,EMP-0006,2026-08-07 06:30:00,Open,
