incident_id,facility_id,equipment_id,related_sop_id,reporter_employee_id,title,description,hazard_category,shift,date_occurred,severity_reported,severity_ai_classified,ai_confidence,status,ai_investigation_summary,ai_root_cause,created_at
INC-0001,FAC-002,EQ-0046,SOP-0007,EMP-0026,Chemical Exposure – Ventilation / Dust Collection System,Employee experienced skin irritation after contact with degreasing solvent used near Ventilation / Dust Collection System.,Chemical Exposure,Night,2025-01-03,Medium,Medium,0.68,Approved,Site walk-down of Ventilation / Dust Collection System area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Insufficient preventive maintenance schedule for Ventilation / Dust Collection System allowed component degradation to go undetected.,2025-01-03
INC-0002,FAC-001,EQ-0015,SOP-0007,EMP-0013,Chemical Exposure – Paint Booth / Coating Line,Employee experienced skin irritation after contact with degreasing solvent used near Paint Booth / Coating Line.,Chemical Exposure,Swing,2026-07-09,Medium,Medium,0.97,In Review,Initial review of Paint Booth / Coating Line maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Procedure for Paint Booth / Coating Line was not followed due to production time pressure.,2026-07-11
INC-0003,FAC-001,EQ-0012,SOP-0024,EMP-0013,Falling Object / Struck-By – Punch Press,"Component fell from overhead storage near Punch Press, narrowly missing employee below.",Falling Object / Struck-By,Day,2025-12-28,Low,Medium,0.93,Closed,Site walk-down of Punch Press area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Communication breakdown between shifts regarding Punch Press status contributed to the incident.,2025-12-29
INC-0004,FAC-003,EQ-0047,SOP-0010,EMP-0027,Electrical Hazard / Arc Flash – Conveyor System,Exposed wiring identified on Conveyor System control cabinet during routine inspection.,Electrical Hazard / Arc Flash,Night,2025-08-07,Low,Medium,0.82,In Review,Site walk-down of Conveyor System area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Conveyor System work area did not adequately separate personnel from hazard zone.,2025-08-07
INC-0005,FAC-003,EQ-0024,SOP-0015,EMP-0006,Environmental Spill / Release – CNC Machining Center,Hydraulic oil spill from CNC Machining Center reached floor drain before containment.,Environmental Spill / Release,Swing,2025-06-13,Medium,Medium,0.98,In Review,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on CNC Machining Center safety procedures contributed to unsafe practice.,2025-06-14
INC-0006,FAC-001,EQ-0005,SOP-0024,EMP-0022,Housekeeping / Walkway Obstruction – Overhead Bridge Crane,Debris accumulation near Overhead Bridge Crane blocked emergency egress path.,Housekeeping / Walkway Obstruction,Day,2024-03-23,Medium,Medium,0.9,Closed,Site walk-down of Overhead Bridge Crane area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Overhead Bridge Crane work area did not adequately separate personnel from hazard zone.,2024-03-25
INC-0007,FAC-001,EQ-0004,SOP-0013,EMP-0028,Heat Stress – Industrial Boiler,High ambient temperature near Industrial Boiler area exceeded safe working thresholds.,Heat Stress,Swing,2025-11-23,Medium,Medium,0.94,Open,Site walk-down of Industrial Boiler area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Existing engineering control on Industrial Boiler was inadequate for current operating conditions.,2025-11-25
INC-0008,FAC-003,EQ-0047,SOP-0001,EMP-0018,Lockout/Tagout Violation – Conveyor System,Technician began maintenance on Conveyor System before verifying zero energy state; near-miss caught by co-worker.,Lockout/Tagout Violation,Day,2024-12-09,Medium,Medium,0.91,Closed,"Investigation team reviewed Conveyor System operating parameters, training records, and prior near-miss reports for the area.",Design of Conveyor System work area did not adequately separate personnel from hazard zone.,2024-12-09
INC-0009,FAC-002,EQ-0025,SOP-0002,EMP-0014,Confined Space Hazard – Paint Booth / Coating Line,Atmospheric monitoring flagged low oxygen levels prior to entry near Paint Booth / Coating Line tank.,Confined Space Hazard,Day,2023-12-24,Low,Low,0.72,In Review,"Investigation team reviewed Paint Booth / Coating Line operating parameters, training records, and prior near-miss reports for the area.",Procedure for Paint Booth / Coating Line was not followed due to production time pressure.,2023-12-26
INC-0010,FAC-003,EQ-0016,SOP-0005,EMP-0024,Forklift / Vehicle Incident – Standby Generator,"Forklift operator struck a storage rack while maneuvering near Standby Generator, minor property damage.",Forklift / Vehicle Incident,Day,2025-01-06,Medium,High,0.75,Closed,"Investigation team reviewed Standby Generator operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Standby Generator was inadequate for current operating conditions.,2025-01-07
INC-0011,FAC-002,EQ-0010,SOP-0004,EMP-0023,Caught-In / Caught-Between – CNC Machining Center,Worker's hand came close to nip point on CNC Machining Center conveyor during clearing of jam.,Caught-In / Caught-Between,Night,2024-07-20,Low,Low,0.77,Approved,Site walk-down of CNC Machining Center area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Communication breakdown between shifts regarding CNC Machining Center status contributed to the incident.,2024-07-21
INC-0012,FAC-002,EQ-0034,SOP-0024,EMP-0003,Falling Object / Struck-By – Conveyor System,Worker struck by ejected part from Conveyor System during operation.,Falling Object / Struck-By,Swing,2024-12-29,Low,Low,0.77,Approved,"Investigation team reviewed Conveyor System operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Conveyor System was inadequate for current operating conditions.,2024-12-29
INC-0013,FAC-003,EQ-0032,SOP-0014,EMP-0006,Fire / Explosion Risk – Electrical Distribution Panel,"Overheating detected on Electrical Distribution Panel motor housing, smoke observed, no ignition.",Fire / Explosion Risk,Night,2026-06-14,High,High,0.86,Closed,Site walk-down of Electrical Distribution Panel area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Gap in operator training on Electrical Distribution Panel safety procedures contributed to unsafe practice.,2026-06-16
INC-0014,FAC-001,EQ-0019,SOP-0014,EMP-0004,Fire / Explosion Risk – Robotic Welding Arm,"Overheating detected on Robotic Welding Arm motor housing, smoke observed, no ignition.",Fire / Explosion Risk,Night,2023-11-20,Low,Low,0.85,Closed,"Investigation team reviewed Robotic Welding Arm operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on Robotic Welding Arm safety procedures contributed to unsafe practice.,2023-11-20
INC-0015,FAC-002,EQ-0035,SOP-0009,EMP-0005,Overhead Crane / Rigging Hazard – Punch Press,"Load shifted unexpectedly while being lifted by Punch Press, operator halted lift safely.",Overhead Crane / Rigging Hazard,Day,2025-09-19,Medium,Medium,0.76,Closed,Site walk-down of Punch Press area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Punch Press work area did not adequately separate personnel from hazard zone.,2025-09-20
INC-0016,FAC-003,EQ-0029,SOP-0007,EMP-0012,Chemical Exposure – Forklift (Propane),"Small chemical splash occurred during transfer of cleaning agent, PPE prevented injury.",Chemical Exposure,Day,2024-12-06,High,High,0.79,Approved,Site walk-down of Forklift (Propane) area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Insufficient preventive maintenance schedule for Forklift (Propane) allowed component degradation to go undetected.,2024-12-07
