audit_finding_id,facility_id,audit_date,auditor_name,auditor_employee_id,finding_category,description,severity,related_sop_id,related_control_id,status
AUD-0001,FAC-001,2025-12-08,Meridian Safety Consulting,,Machine Safety,Point-of-operation guarding on punch press equipment was found defeated during the walkthrough; this matches a condition noted in a prior internal control assessment and at least one recent incident report.,High,SOP-0004,CTL-0001,Closed
AUD-0002,FAC-002,2026-02-20,TriState EHS Audit Group,,Contractor Management,Sampled contractor files did not consistently contain evidence of current LOTO or confined-space training prior to work authorization.,Medium,SOP-0025,CTL-0004,Closed
AUD-0003,FAC-001,2025-12-18,Jose Johnson (Internal Audit),EMP-0004,Environmental Compliance,Environmental Compliance finding identified during scheduled audit at FAC-001; see recommended corrective action.,Low,SOP-0002,,Closed
AUD-0004,FAC-002,2026-02-22,Paul Lee (Internal Audit),EMP-0013,Machine Safety,Machine Safety finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0013,,Closed
AUD-0005,FAC-001,2026-05-25,Jose Johnson (Internal Audit),EMP-0004,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-001; see recommended corrective action.,Medium,SOP-0025,,Closed
AUD-0006,FAC-002,2026-05-29,TriState EHS Audit Group,,Contractor Management,Contractor Management finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0009,,Closed
AUD-0007,FAC-003,2026-03-31,TriState EHS Audit Group,,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-003; see recommended corrective action.,Low,,,Closed
AUD-0008,FAC-002,2026-02-25,TriState EHS Audit Group,,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,High,,,Closed
AUD-0009,FAC-003,2025-01-01,Cornerstone Risk Advisors,,Environmental Compliance,Environmental Compliance finding identified during scheduled audit at FAC-003; see recommended corrective action.,Medium,SOP-0028,,Closed
AUD-0010,FAC-002,2026-07-04,Meridian Safety Consulting,,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-002; see recommended corrective action.,Medium,,,Open
AUD-0011,FAC-003,2026-03-17,Deborah Lopez (Internal Audit),EMP-0002,Housekeeping,Housekeeping finding identified during scheduled audit at FAC-003; see recommended corrective action.,Low,,,Closed
AUD-0012,FAC-002,2025-06-27,Paul Lee (Internal Audit),EMP-0013,Housekeeping,Housekeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0028,,Closed
AUD-0013,FAC-003,2026-04-30,Meridian Safety Consulting,,Environmental Compliance,Environmental Compliance finding identified during scheduled audit at FAC-003; see recommended corrective action.,High,SOP-0026,,Closed
AUD-0014,FAC-003,2025-02-27,Karen Lee (Internal Audit),EMP-0003,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-003; see recommended corrective action.,Low,SOP-0001,,Closed
AUD-0015,FAC-001,2025-09-08,Cornerstone Risk Advisors,,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-001; see recommended corrective action.,Medium,,,Closed
AUD-0016,FAC-003,2026-05-16,Jose Johnson (Internal Audit),EMP-0004,Environmental Compliance,Environmental Compliance finding identified during scheduled audit at FAC-003; see recommended corrective action.,Medium,,,Closed
AUD-0017,FAC-002,2025-04-30,TriState EHS Audit Group,,Housekeeping,Housekeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,High,,,Closed
AUD-0018,FAC-003,2026-02-02,Cornerstone Risk Advisors,,Housekeeping,Housekeeping finding identified during scheduled audit at FAC-003; see recommended corrective action.,Medium,,,Closed
AUD-0019,FAC-002,2026-06-27,Jose Johnson (Internal Audit),EMP-0004,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0028,,Open
AUD-0020,FAC-002,2026-04-10,Karen Lee (Internal Audit),EMP-0003,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,,,Closed
AUD-0021,FAC-002,2025-03-01,TriState EHS Audit Group,,Contractor Management,Contractor Management finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0007,,Closed
AUD-0022,FAC-003,2026-01-30,Meridian Safety Consulting,,Contractor Management,Contractor Management finding identified during scheduled audit at FAC-003; see recommended corrective action.,High,,,Closed
AUD-0023,FAC-001,2026-07-15,Cornerstone Risk Advisors,,Energy Control (LOTO),Energy Control (LOTO) finding identified during scheduled audit at FAC-001; see recommended corrective action.,Low,SOP-0027,,Open
AUD-0024,FAC-002,2025-10-27,Jose Johnson (Internal Audit),EMP-0004,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-002; see recommended corrective action.,Medium,SOP-0008,,Closed
AUD-0025,FAC-002,2026-04-23,Jose Johnson (Internal Audit),EMP-0004,Housekeeping,Housekeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,Medium,SOP-0025,,Closed
AUD-0026,FAC-001,2026-07-03,Meridian Safety Consulting,,PPE Compliance,PPE Compliance finding identified during scheduled audit at FAC-001; see recommended corrective action.,Low,,,Open
AUD-0027,FAC-003,2025-08-18,Paul Lee (Internal Audit),EMP-0013,Emergency Preparedness,Emergency Preparedness finding identified during scheduled audit at FAC-003; see recommended corrective action.,Low,,,Closed
AUD-0028,FAC-002,2025-05-16,Jose Johnson (Internal Audit),EMP-0004,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,,,Closed
AUD-0029,FAC-002,2025-05-21,Meridian Safety Consulting,,Energy Control (LOTO),Energy Control (LOTO) finding identified during scheduled audit at FAC-002; see recommended corrective action.,High,SOP-0003,,Closed
AUD-0030,FAC-002,2025-02-10,Karen Lee (Internal Audit),EMP-0003,Documentation/Recordkeeping,Documentation/Recordkeeping finding identified during scheduled audit at FAC-002; see recommended corrective action.,Low,SOP-0027,,Closed
