action_id,action_type,source_type,source_incident_id,source_audit_finding_id,source_inspection_id,source_risk_assessment_id,related_control_id,description,facility_id,owner_employee_id,created_date,original_due_date,due_date,reschedule_count,status,completion_date,verification_method
ACT-0001,Corrective,Incident,INC-0008,,,,CTL-0001,Repair/upgrade punch press guard interlock and confirm it cannot be propped open.,FAC-001,EMP-0025,2025-11-04,2025-11-25,2026-01-06,2,Overdue,,Maintenance work order closure
ACT-0002,Corrective,Incident,INC-0009,,,,CTL-0001,Repair/upgrade punch press guard interlock and confirm it cannot be propped open.,FAC-001,EMP-0017,2026-08-19,2026-09-09,2026-08-19,2,Overdue,,Supervisor sign-off
ACT-0003,Corrective,Incident,INC-0010,,,,CTL-0001,Repair/upgrade punch press guard interlock and confirm it cannot be propped open.,FAC-001,EMP-0025,2026-08-07,2026-08-28,2026-08-16,3,Overdue,,Follow-up inspection
ACT-0004,Corrective,Incident,INC-0011,,,,CTL-0001,Repair/upgrade punch press guard interlock and confirm it cannot be propped open.,FAC-002,EMP-0014,2025-10-24,2025-11-14,2025-12-26,2,Overdue,,Maintenance work order closure
ACT-0005,Corrective,Incident,INC-0032,,,,,Address maintenance-related corrective action arising from INC-0032.,FAC-002,EMP-0025,2025-07-05,2025-07-19,2025-08-30,2,Overdue,,Retraining attendance record
ACT-0006,Corrective,Incident,INC-0020,,,,,Address maintenance-related corrective action arising from INC-0020.,FAC-002,EMP-0025,2026-02-02,2026-02-16,2026-03-30,2,Overdue,,Retraining attendance record
ACT-0007,Corrective,Incident,INC-0011,,,,,Address maintenance-related corrective action arising from INC-0011.,FAC-002,EMP-0025,2025-11-21,2025-12-05,2026-01-16,2,Overdue,,Retraining attendance record
ACT-0008,Corrective,Incident,INC-0072,,,,,Address maintenance-related corrective action arising from INC-0072.,FAC-002,EMP-0025,2026-04-09,2026-04-23,2026-06-04,2,Overdue,,Follow-up inspection
ACT-0009,Corrective,Incident,INC-0064,,,,,Address maintenance-related corrective action arising from INC-0064.,FAC-002,EMP-0025,2025-11-15,2025-11-29,2026-01-31,3,Overdue,,Retraining attendance record
ACT-0010,Corrective,Inspection,,,INSP-0059,,,Correct deficiency identified during housekeeping audit (INSP-0059).,FAC-002,EMP-0002,2026-08-12,2026-09-02,2026-09-02,2,Overdue,,Follow-up inspection
ACT-0011,Corrective,Inspection,,,INSP-0029,,,Correct deficiency identified during ppe compliance audit (INSP-0029).,FAC-002,EMP-0023,2025-03-06,2025-03-27,2025-05-29,3,Overdue,,EHS audit confirmation
ACT-0012,Preventive,Inspection,,,INSP-0020,,,Correct deficiency identified during equipment inspection (INSP-0020).,FAC-002,EMP-0026,2026-04-19,2026-05-10,2026-06-21,2,Overdue,,EHS audit confirmation
ACT-0013,Preventive,Inspection,,,INSP-0029,,,Correct deficiency identified during ppe compliance audit (INSP-0029).,FAC-002,EMP-0023,2025-03-06,2025-03-27,2025-05-08,2,Overdue,,Follow-up inspection
ACT-0014,Corrective,Inspection,,,INSP-0002,,,Correct deficiency identified during equipment inspection (INSP-0002).,FAC-002,EMP-0023,2025-11-14,2025-12-05,2026-02-06,3,Overdue,,Retraining attendance record
ACT-0015,Corrective,Incident,INC-0003,,,,CTL-0002,Address root cause identified for INC-0003 (HAZ-0001: Forklift / Vehicle Incident).,FAC-001,EMP-0004,2025-07-30,2025-08-13,2025-08-13,0,Completed,2025-08-06,Supervisor sign-off
ACT-0016,Corrective,Incident,INC-0045,,,,,Address root cause identified for INC-0045 (HAZ-0039: Heat Stress).,FAC-003,EMP-0025,2026-03-22,2026-04-05,2026-04-05,0,Completed,2026-03-31,Follow-up inspection
ACT-0017,Corrective,Incident,INC-0073,,,,CTL-0044,Address root cause identified for INC-0073 (HAZ-0012: Falling Object / Struck-By).,FAC-002,EMP-0009,2026-01-06,2026-02-20,2026-02-20,0,Overdue,,EHS audit confirmation
ACT-0018,Corrective,Incident,INC-0100,,,,CTL-0042,Address root cause identified for INC-0100 (HAZ-0050: Caught-In / Caught-Between).,FAC-002,EMP-0008,2025-06-12,2025-07-12,2025-07-12,0,Completed,2025-07-06,Supervisor sign-off
