risk_assessment_id,facility_id,hazard_category,equipment_id,source_incident_id,related_sop_id,likelihood,impact,risk_score,risk_level,existing_controls,recommended_controls,assessed_by_employee_id,assessment_date,status
RISK-0001,FAC-003,Heat Stress,EQ-0021,INC-0090,SOP-0013,2,5,10,Medium,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2024-04-03,Closed
RISK-0002,FAC-001,Pressure System Failure,EQ-0009,INC-0071,SOP-0027,1,4,4,Low,Current SOP compliance and PPE use for pressure system failure exposure.,Enhance engineering/administrative controls for pressure system failure at point of work.,EMP-0004,2025-06-09,Mitigated
RISK-0003,FAC-001,Electrical Hazard / Arc Flash,EQ-0040,INC-0061,SOP-0010,1,5,5,Low,Current SOP compliance and PPE use for electrical hazard / arc flash exposure.,Enhance engineering/administrative controls for electrical hazard / arc flash at point of work.,EMP-0014,2025-11-19,Closed
RISK-0004,FAC-002,Falling Object / Struck-By,EQ-0034,INC-0097,SOP-0024,1,4,4,Low,Current SOP compliance and PPE use for falling object / struck-by exposure.,Enhance engineering/administrative controls for falling object / struck-by at point of work.,EMP-0008,2026-04-16,Open
RISK-0005,FAC-002,Chemical Exposure,EQ-0026,INC-0069,SOP-0007,5,1,5,Low,Current SOP compliance and PPE use for chemical exposure exposure.,Enhance engineering/administrative controls for chemical exposure at point of work.,EMP-0001,2025-03-09,Open
RISK-0006,FAC-003,Heat Stress,EQ-0002,INC-0086,SOP-0013,5,1,5,Low,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0018,2026-08-14,Mitigated
RISK-0007,FAC-002,Ergonomic Strain,EQ-0045,INC-0028,SOP-0013,4,2,8,Medium,Current SOP compliance and PPE use for ergonomic strain exposure.,Enhance engineering/administrative controls for ergonomic strain at point of work.,EMP-0024,2024-05-18,Closed
RISK-0008,FAC-003,Fire / Explosion Risk,EQ-0002,INC-0032,SOP-0014,4,3,12,High,Current SOP compliance and PPE use for fire / explosion risk exposure.,Enhance engineering/administrative controls for fire / explosion risk at point of work.,EMP-0024,2025-04-04,Closed
RISK-0009,FAC-003,Lockout/Tagout Violation,EQ-0047,INC-0088,SOP-0001,4,1,4,Low,Current SOP compliance and PPE use for lockout/tagout violation exposure.,Enhance engineering/administrative controls for lockout/tagout violation at point of work.,EMP-0018,2025-10-31,Closed
RISK-0010,FAC-002,Heat Stress,EQ-0042,INC-0077,SOP-0013,2,5,10,Medium,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0012,2025-06-25,Open
RISK-0011,FAC-002,Caught-In / Caught-Between,EQ-0010,INC-0011,SOP-0004,1,1,1,Low,Current SOP compliance and PPE use for caught-in / caught-between exposure.,Enhance engineering/administrative controls for caught-in / caught-between at point of work.,EMP-0009,2025-04-19,Closed
RISK-0012,FAC-001,Forklift / Vehicle Incident,EQ-0001,INC-0068,SOP-0005,4,5,20,Critical,Current SOP compliance and PPE use for forklift / vehicle incident exposure.,Enhance engineering/administrative controls for forklift / vehicle incident at point of work.,EMP-0012,2026-04-23,Open
RISK-0013,FAC-003,Ergonomic Strain,EQ-0031,INC-0058,SOP-0013,3,2,6,Medium,Current SOP compliance and PPE use for ergonomic strain exposure.,Enhance engineering/administrative controls for ergonomic strain at point of work.,EMP-0024,2024-07-12,Closed
RISK-0014,FAC-002,Pressure System Failure,EQ-0050,INC-0089,SOP-0027,1,1,1,Low,Current SOP compliance and PPE use for pressure system failure exposure.,Enhance engineering/administrative controls for pressure system failure at point of work.,EMP-0025,2025-11-07,Mitigated
RISK-0015,FAC-002,Environmental Spill / Release,EQ-0034,INC-0047,SOP-0015,2,2,4,Low,Current SOP compliance and PPE use for environmental spill / release exposure.,Enhance engineering/administrative controls for environmental spill / release at point of work.,EMP-0002,2024-04-13,Mitigated
RISK-0016,FAC-003,Forklift / Vehicle Incident,EQ-0016,INC-0010,SOP-0005,5,1,5,Low,Current SOP compliance and PPE use for forklift / vehicle incident exposure.,Enhance engineering/administrative controls for forklift / vehicle incident at point of work.,EMP-0018,2026-01-28,Open
RISK-0017,FAC-001,Electrical Hazard / Arc Flash,EQ-0040,INC-0073,SOP-0010,2,5,10,Medium,Current SOP compliance and PPE use for electrical hazard / arc flash exposure.,Enhance engineering/administrative controls for electrical hazard / arc flash at point of work.,EMP-0006,2026-02-11,Closed
