sop_id,title,category,version,effective_date,next_review_date,owner_employee_id,facility_id,status
SOP-0001,Lockout/Tagout (LOTO) Procedure,Energy Control,1.3,2021-09-13,2023-09-13,EMP-0018,FAC-003,Active
SOP-0002,Confined Space Entry Permit Procedure,Confined Space,1.7,2021-09-03,2022-09-03,EMP-0013,FAC-003,Active
SOP-0003,Personal Protective Equipment (PPE) Requirements,PPE,1.4,2022-06-04,2024-06-03,EMP-0009,,Active
SOP-0004,Machine Guarding Standard,Machine Safety,2.2,2024-08-16,2027-08-16,EMP-0007,,Active
SOP-0005,Powered Industrial Truck (Forklift) Operation,Vehicle Safety,4.8,2019-06-25,2022-06-24,EMP-0018,,Active
SOP-0006,Hot Work Permit Procedure,Fire Safety,4.8,2019-12-12,2020-12-11,EMP-0010,,Under Revision
SOP-0007,Hazardous Chemical Handling & Storage,Chemical Safety,1.2,2022-10-16,2024-10-15,EMP-0007,,Under Revision
SOP-0008,Emergency Response & Evacuation Plan,Emergency Preparedness,2.8,2022-05-20,2025-05-19,EMP-0001,FAC-003,Under Revision
SOP-0009,Overhead Crane & Rigging Operation,Material Handling,4.0,2020-03-03,2021-03-03,EMP-0010,FAC-001,Active
SOP-0010,Electrical Safe Work Practices (Arc Flash),Electrical Safety,2.7,2020-04-05,2023-04-05,EMP-0001,FAC-001,Active
SOP-0011,Fall Protection Program,Fall Safety,1.9,2022-04-13,2025-04-12,EMP-0013,,Active
SOP-0012,Hazardous Waste Disposal Procedure,Environmental,2.5,2022-08-30,2023-08-30,EMP-0009,FAC-002,Active
SOP-0013,Ergonomic Workstation Guidelines,Ergonomics,2.5,2024-11-05,2025-11-05,EMP-0013,FAC-003,Active
SOP-0014,Fire Prevention & Extinguisher Use,Fire Safety,3.0,2024-10-11,2025-10-11,EMP-0013,FAC-002,Active
SOP-0015,Spill Prevention & Response Plan,Environmental,1.1,2020-06-01,2021-06-01,EMP-0013,,Active
SOP-0016,Respiratory Protection Program,PPE,4.7,2019-02-17,2020-02-17,EMP-0010,,Active
SOP-0017,Hearing Conservation Program,Industrial Hygiene,1.1,2019-12-23,2022-12-22,EMP-0013,,Active
SOP-0018,Incident Reporting & Investigation Procedure,EHS Management,2.0,2023-04-13,2025-04-12,EMP-0001,,Active
SOP-0019,New Employee Safety Orientation,Training,1.7,2024-10-29,2025-10-29,EMP-0018,FAC-002,Active
SOP-0020,Job Hazard Analysis (JHA) Procedure,EHS Management,2.5,2022-06-18,2023-06-18,EMP-0001,,Under Revision
SOP-0021,Compressed Gas Cylinder Handling,Chemical Safety,2.9,2019-05-22,2020-05-21,EMP-0007,FAC-002,Active
SOP-0022,Robotic Cell Safety Procedure,Machine Safety,3.6,2020-03-24,2021-03-24,EMP-0002,FAC-002,Under Revision
SOP-0023,Preventive Maintenance Safety Procedure,Maintenance,1.0,2020-01-14,2021-01-13,EMP-0004,,Under Revision
SOP-0024,Housekeeping & Walkway Safety Standard,General Safety,1.7,2019-10-27,2022-10-26,EMP-0007,FAC-001,Active
SOP-0025,Contractor Safety Management Program,EHS Management,3.5,2023-11-03,2024-11-02,EMP-0013,FAC-002,Under Revision
SOP-0026,Welding & Cutting Safety Procedure,Fire Safety,1.2,2021-05-04,2023-05-04,EMP-0007,,Active
SOP-0027,Boiler & Pressure Vessel Safety Procedure,Utilities Safety,2.1,2021-12-16,2023-12-16,EMP-0007,FAC-003,Active
SOP-0028,Environmental Air Emissions Monitoring,Environmental,1.6,2020-03-04,2022-03-04,EMP-0002,,Active
SOP-0029,"Slip, Trip & Fall Prevention Standard",General Safety,4.7,2021-07-18,2024-07-17,EMP-0003,,Active
SOP-0030,Management of Change (MOC) Procedure,EHS Management,3.3,2019-08-28,2022-08-27,EMP-0007,FAC-001,Active
