equipment_id,facility_id,equipment_type,category,manufacturer,model_number,serial_number,install_date,last_maintenance_date,next_maintenance_due,status,criticality
EQ-0001,FAC-001,Punch Press,Production,Amada,PX-512,SN654968,2002-03-19,2025-09-10,2026-03-09,Operational,High
EQ-0002,FAC-002,Punch Press,Production,Trumpf,TX-337,SN680182,2002-07-25,2025-07-13,2026-01-09,Operational,High
EQ-0003,FAC-001,Forklift (Electric),Material Handling,Toyota,GX-407,SN151508,2024-02-15,2025-03-14,2025-06-12,Operational,Medium
EQ-0004,FAC-003,Forklift (Propane),Material Handling,Hyster,MX-140,SN585720,2001-04-07,2026-06-06,2026-10-04,Operational,Medium
EQ-0005,FAC-002,Air Compressor,Utilities,Ingersoll Rand,PX-431,SN160734,1998-06-16,2026-05-11,2026-08-09,Operational,High
EQ-0006,FAC-003,Conveyor System,Material Handling,Hytrol,MX-795,SN725120,2014-12-19,2026-01-14,2026-07-13,Operational,Medium
EQ-0007,FAC-001,Packaging Line,Production,Bosch Packaging,GX-379,SN940331,2005-02-21,2026-05-19,2026-09-16,Operational,Medium
EQ-0008,FAC-001,Paint Booth / Coating Line,Production,Global Finishing Solutions,PX-179,SN596294,2020-09-27,2026-03-23,2026-09-19,Operational,Medium
EQ-0009,FAC-002,Electrical Distribution Panel,Utilities,Square D,TX-526,SN166348,2001-07-05,2026-06-20,2026-10-18,Operational,High
EQ-0010,FAC-001,Ventilation / Dust Collection System,Utilities,Camfil,PX-617,SN725236,2004-06-10,2025-09-21,2026-01-19,Operational,Medium
EQ-0011,FAC-002,Conveyor System,Material Handling,Hytrol,GX-607,SN835114,2022-04-12,2026-01-12,2026-07-11,Operational,Medium
EQ-0012,FAC-002,Forklift (Electric),Material Handling,Hyster,TX-706,SN508416,2021-04-17,2026-05-30,2026-11-26,Operational,Medium
EQ-0013,FAC-001,Ventilation / Dust Collection System,Utilities,Camfil,MX-181,SN902974,2015-05-19,2025-12-09,2026-04-08,Operational,High
EQ-0014,FAC-003,Hydraulic Press,Production,Schuler,RX-719,SN739987,2003-06-25,2025-10-04,2026-04-02,Operational,Medium
EQ-0015,FAC-001,Industrial Boiler,Utilities,Fulton,GX-147,SN775186,2016-07-26,2025-01-13,2025-07-12,Operational,High
EQ-0016,FAC-002,Ventilation / Dust Collection System,Utilities,Camfil,GX-645,SN404235,2001-04-23,2025-08-28,2026-02-24,Operational,Medium
EQ-0017,FAC-003,Standby Generator,Utilities,Caterpillar,RX-185,SN304327,2021-03-13,2026-03-28,2026-09-24,Operational,High
EQ-0018,FAC-002,Robotic Welding Arm,Production,ABB,RX-188,SN327981,2024-02-10,2026-06-24,2026-07-03,Operational,Medium
EQ-0019,FAC-001,Hydraulic Press,Production,Minster,GX-246,SN922533,2006-05-27,2026-05-11,2026-09-08,Operational,Medium
EQ-0020,FAC-002,Robotic Welding Arm,Production,ABB,MX-645,SN810229,2004-11-22,2026-07-31,2025-04-26,Operational,Medium
EQ-0021,FAC-001,Standby Generator,Utilities,Generac,TX-682,SN487438,2015-05-06,2026-02-02,2026-08-01,Operational,High
EQ-0022,FAC-001,Overhead Bridge Crane,Material Handling,Demag,RX-560,SN897295,2009-11-06,2026-03-20,2026-09-16,Operational,Medium
EQ-0023,FAC-001,Pressure Vessel / Tank,Utilities,Manchester Tank,TX-670,SN718852,2012-09-18,2025-05-13,2026-07-12,Operational,High
EQ-0024,FAC-003,Overhead Bridge Crane,Material Handling,Gorbel,PX-684,SN332813,2013-12-13,2026-06-29,2025-01-31,Operational,High
EQ-0025,FAC-001,Pressure Vessel / Tank,Utilities,Trinity,RX-443,SN743553,2015-01-13,2025-11-21,2026-03-21,Operational,Medium
EQ-0026,FAC-001,Ventilation / Dust Collection System,Utilities,Camfil,MX-328,SN208969,2023-05-25,2025-05-03,2025-08-31,Operational,Medium
EQ-0027,FAC-002,Electrical Distribution Panel,Utilities,Siemens,RX-454,SN663138,2006-01-12,2025-09-29,2025-05-14,Operational,High
EQ-0028,FAC-001,Robotic Welding Arm,Production,FANUC,GX-823,SN309172,2023-02-18,2026-02-04,2026-08-03,Operational,High
EQ-0029,FAC-001,Industrial Boiler,Utilities,Cleaver-Brooks,RX-282,SN219459,2015-10-15,2026-06-17,2026-05-03,Operational,Medium
EQ-0030,FAC-003,CNC Machining Center,Production,Okuma,RX-738,SN839642,2020-07-24,2025-07-20,2025-10-18,Operational,High
EQ-0031,FAC-004,Pressure Vessel / Tank,Utilities,Manchester Tank,RX-514,SN353207,2021-12-22,2025-09-13,2026-03-12,Operational,Medium
EQ-0032,FAC-004,Punch Press,Production,Amada,MX-218,SN398437,2006-10-13,2025-04-23,2025-07-22,Operational,Medium
EQ-0033,FAC-004,Standby Generator,Utilities,Caterpillar,TX-996,SN417042,2016-07-17,2025-05-24,2025-08-22,Operational,Medium
EQ-0034,FAC-004,Ventilation / Dust Collection System,Utilities,Donaldson,TX-106,SN912971,2005-02-20,2026-05-10,2026-11-06,Operational,High
EQ-0035,FAC-004,Conveyor System,Material Handling,FlexLink,TX-148,SN317092,2015-08-06,2025-11-08,2026-02-06,Operational,Medium
EQ-0036,FAC-004,Robotic Welding Arm,Production,ABB,MX-643,SN103801,2006-12-19,2025-09-24,2026-03-23,Operational,High
EQ-0037,FAC-004,Cooling Tower,Utilities,SPX Marley,MX-948,SN739687,2006-04-28,2025-03-11,2025-06-09,Operational,Medium
EQ-0038,FAC-004,Forklift (Electric),Material Handling,Toyota,RX-606,SN454561,2021-11-27,2026-07-18,2026-11-15,Operational,Medium
EQ-0039,FAC-004,Overhead Bridge Crane,Material Handling,Gorbel,PX-849,SN715641,2020-01-11,2026-06-12,2026-10-10,Operational,Medium
EQ-0040,FAC-005,Forklift (Propane),Material Handling,Caterpillar,RX-619,SN675803,2018-03-05,2025-10-31,2025-03-24,Operational,Medium
EQ-0041,FAC-005,Industrial Boiler,Utilities,Fulton,PX-608,SN583184,2021-01-07,2025-06-01,2025-12-16,Operational,Medium
EQ-0042,FAC-005,Punch Press,Production,Trumpf,TX-104,SN304592,2008-08-05,2026-07-11,2026-11-08,Operational,Medium
EQ-0043,FAC-005,CNC Machining Center,Production,Mazak,MX-430,SN251745,2022-12-18,2026-04-04,2026-10-01,Operational,Medium
EQ-0044,FAC-005,Pressure Vessel / Tank,Utilities,Manchester Tank,TX-260,SN538976,2020-04-04,2026-02-06,2026-08-05,Operational,Medium
EQ-0045,FAC-005,Punch Press,Production,Trumpf,TX-726,SN869841,2006-04-10,2026-01-09,2026-04-09,Operational,Medium
EQ-0046,FAC-005,Industrial Boiler,Utilities,Fulton,RX-378,SN196577,2024-02-05,2025-07-16,2026-01-12,Operational,Medium
EQ-0047,FAC-005,Forklift (Electric),Material Handling,Hyster,TX-823,SN511284,2008-11-15,2025-03-30,2025-07-28,Operational,Medium
EQ-0048,FAC-005,Industrial Boiler,Utilities,Fulton,GX-555,SN187943,2021-09-10,2025-03-11,2025-09-07,Operational,High
EQ-0049,FAC-006,Industrial Boiler,Utilities,Cleaver-Brooks,GX-156,SN796981,2012-04-14,2025-06-14,2025-10-12,Operational,Medium
EQ-0050,FAC-006,CNC Machining Center,Production,Mazak,GX-913,SN434377,2021-05-05,2025-10-16,2026-04-14,Operational,Medium
EQ-0051,FAC-006,Forklift (Electric),Material Handling,Toyota,RX-164,SN668677,2008-10-30,2026-02-10,2025-07-08,Operational,High
EQ-0052,FAC-006,Punch Press,Production,Trumpf,TX-702,SN580125,2021-06-02,2026-07-22,2027-01-18,Operational,Medium
EQ-0053,FAC-006,Standby Generator,Utilities,Generac,GX-606,SN699811,2009-02-25,2025-08-30,2025-12-28,Operational,High
EQ-0054,FAC-006,Hydraulic Press,Production,Verson,TX-526,SN499421,2014-09-01,2026-03-19,2026-09-15,Operational,Medium
EQ-0055,FAC-006,Hydraulic Press,Production,Minster,TX-399,SN874853,2008-04-25,2026-02-22,2026-05-23,Operational,Medium
EQ-0056,FAC-006,CNC Machining Center,Production,DMG Mori,PX-887,SN804694,2005-10-11,2025-05-25,2025-08-23,Operational,Medium
EQ-0057,FAC-006,Forklift (Electric),Material Handling,Toyota,PX-575,SN955636,2015-05-13,2026-03-13,2026-09-09,Operational,Medium
EQ-0058,FAC-007,CNC Machining Center,Production,Haas,GX-302,SN886749,2022-05-07,2025-03-30,2025-06-28,Operational,High
EQ-0059,FAC-007,Standby Generator,Utilities,Generac,PX-678,SN163259,2013-11-22,2025-09-29,2026-03-28,Operational,Medium
EQ-0060,FAC-007,Pressure Vessel / Tank,Utilities,Manchester Tank,MX-115,SN221845,2008-08-27,2025-06-17,2025-08-15,Operational,Medium
EQ-0061,FAC-007,Robotic Welding Arm,Production,ABB,TX-618,SN433719,2022-06-22,2026-07-17,2027-01-13,Operational,High
EQ-0062,FAC-007,Robotic Welding Arm,Production,ABB,MX-105,SN171728,2017-09-15,2025-04-21,2025-07-20,Operational,Medium
EQ-0063,FAC-007,Ventilation / Dust Collection System,Utilities,Camfil,PX-805,SN934331,2017-02-07,2025-10-09,2026-04-07,Operational,High
EQ-0064,FAC-007,Standby Generator,Utilities,Cummins,GX-546,SN905406,2021-03-26,2025-10-06,2026-04-04,Operational,Medium
EQ-0065,FAC-007,Hydraulic Press,Production,Minster,TX-453,SN319243,2010-12-03,2026-06-20,2025-03-27,Operational,Medium
EQ-0066,FAC-007,Ventilation / Dust Collection System,Utilities,Donaldson,GX-144,SN175938,2010-06-18,2026-06-20,2026-10-18,Operational,Medium
