risk_assessment_id,hazard_id,facility_id,equipment_id,source_incident_id,assessment_date,assessed_by_employee_id,likelihood,severity,raw_score,control_effectiveness_rating,control_effectiveness_factor,recurrence_count_trailing_12mo,recurrence_factor,trend,trend_factor,adjusted_score,risk_level,methodology_notes,status
RA-0001,HAZ-0001,FAC-001,EQ-0003,,2026-09-01,EMP-0004,2,4,8,Partially Effective,0.85,1,1.15,Decreasing,0.9,7.0,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 0.85 x 1.15 x 0.9 = 7.0, clipped to [0,25].",Current
RA-0002,HAZ-0002,FAC-003,EQ-0004,,2026-08-22,EMP-0004,3,4,12,Effective,0.6,2,1.15,Decreasing,0.9,7.5,Medium,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 12 x 0.6 x 1.15 x 0.9 = 7.5, clipped to [0,25].",Current
RA-0003,HAZ-0003,FAC-001,,,2026-08-21,EMP-0007,4,4,16,Ineffective,1.0,5,1.3,Decreasing,0.9,18.7,High,"raw_score = likelihood(4) x severity(4) = 16. control_effectiveness_factor=1.0 (rating: Ineffective). recurrence_factor=1.3 (5 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 16 x 1.0 x 1.3 x 0.9 = 18.7, clipped to [0,25].",Current
RA-0004,HAZ-0004,FAC-002,EQ-0005,,2026-08-24,EMP-0003,2,3,6,Effective,0.6,1,1.15,Increasing,1.1,4.6,Low,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 6 x 0.6 x 1.15 x 1.1 = 4.6, clipped to [0,25].",Current
RA-0005,HAZ-0005,FAC-003,EQ-0006,,2026-08-15,EMP-0002,2,3,6,Effective,0.6,1,1.15,Decreasing,0.9,3.7,Low,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 6 x 0.6 x 1.15 x 0.9 = 3.7, clipped to [0,25].",Current
RA-0006,HAZ-0006,FAC-001,,,2026-08-30,EMP-0007,1,4,4,Partially Effective,0.85,0,1.0,Stable,1.0,3.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.85 x 1.0 x 1.0 = 3.4, clipped to [0,25].",Current
RA-0007,HAZ-0076,FAC-001,,,2026-08-15,EMP-0009,2,5,10,Effective,0.6,1,1.15,Increasing,1.1,7.6,Medium,"raw_score = likelihood(2) x severity(5) = 10. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 10 x 0.6 x 1.15 x 1.1 = 7.6, clipped to [0,25].",Current
RA-0008,HAZ-0077,FAC-003,,,2026-08-31,EMP-0013,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0009,HAZ-0003,FAC-001,,,2025-04-01,EMP-0007,1,4,4,Effective,0.6,0,1.0,Stable,1.0,2.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.6 x 1.0 x 1.0 = 2.4, clipped to [0,25].",Current
RA-0010,HAZ-0055,FAC-002,EQ-0009,,2025-08-25,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
