corrective_action_id,incident_id,risk_assessment_id,facility_id,equipment_id,action_type,description,owner_employee_id,created_date,due_date,status,completion_date,verification_method
CA-0001,INC-0034,,FAC-003,EQ-0007,Preventive,Retrain affected technicians on LOTO procedure for Hydraulic Press; conduct audit within 30 days.,EMP-0011,2024-06-30,2024-08-29,In Progress,,Maintenance work order closure
CA-0002,INC-0050,,FAC-001,EQ-0041,Corrective,Retrain forklift operator; review speed limits in CNC Machining Center zone.,EMP-0011,2025-01-20,2025-03-06,Open,,Maintenance work order closure
CA-0003,INC-0048,,FAC-001,EQ-0022,Corrective,Replace worn rigging and conduct full inspection of Forklift (Propane).,EMP-0019,2025-07-12,2026-09-02,Overdue,,Retraining attendance record
CA-0004,INC-0002,,FAC-001,EQ-0015,Preventive,Update SDS access point and reinforce PPE requirement for solvent handling near Paint Booth / Coating Line.,EMP-0026,2024-10-25,2024-11-08,Open,,Retraining attendance record
CA-0005,INC-0075,,FAC-003,EQ-0013,Preventive,Install convex mirrors and repaint pedestrian lanes near Hydraulic Press.,EMP-0008,2024-09-15,2024-10-15,Open,,Retraining attendance record
CA-0006,INC-0087,,FAC-001,EQ-0041,Preventive,Conduct ergonomic assessment of CNC Machining Center workstation and implement adjustable fixtures.,EMP-0020,2025-05-05,2025-08-03,Open,,EHS audit confirmation
CA-0007,INC-0080,,FAC-001,EQ-0012,Corrective,Implement daily housekeeping audit checklist for Punch Press area.,EMP-0026,2025-01-03,2026-08-13,Overdue,,Follow-up inspection
CA-0008,INC-0085,,FAC-003,EQ-0047,Corrective,Reinforce confined space permit process for entries near Conveyor System.,EMP-0022,2025-11-11,2025-12-26,Completed,2025-12-16,EHS audit confirmation
CA-0009,INC-0037,,FAC-003,EQ-0024,Preventive,Designate and mark storage zones away from egress paths near CNC Machining Center.,EMP-0018,2026-02-09,2026-03-26,Open,,Follow-up inspection
CA-0010,INC-0014,,FAC-001,EQ-0019,Corrective,Inspect and service Robotic Welding Arm motor/cooling system; add thermal monitoring.,EMP-0009,2024-08-15,2026-08-16,Overdue,,EHS audit confirmation
CA-0011,,RISK-0035,FAC-003,EQ-0028,Preventive,Replace worn rigging and conduct full inspection of Packaging Line.,EMP-0012,2025-02-04,2026-08-11,Overdue,,EHS audit confirmation
CA-0012,INC-0069,,FAC-002,EQ-0026,Preventive,Update SDS access point and reinforce PPE requirement for solvent handling near Cooling Tower.,EMP-0014,2025-05-09,2025-05-23,In Progress,,Retraining attendance record
CA-0013,INC-0061,,FAC-001,EQ-0040,Corrective,Perform arc flash risk assessment and update warning labels on Automated Guided Vehicle (AGV).,EMP-0027,2026-08-21,2026-09-20,In Progress,,Maintenance work order closure
CA-0014,INC-0063,,FAC-002,EQ-0039,Preventive,Update jam-clearing procedure and require LOTO before clearing Pressure Vessel / Tank.,EMP-0014,2025-06-17,2025-08-16,In Progress,,Retraining attendance record
CA-0015,INC-0024,,FAC-001,EQ-0019,Preventive,Provide additional hearing protection and post noise hazard signage near Robotic Welding Arm.,EMP-0024,2025-12-14,2026-02-12,In Progress,,Follow-up inspection
CA-0016,INC-0089,,FAC-002,EQ-0050,Corrective,Schedule third-party pressure system certification for Overhead Bridge Crane.,EMP-0003,2024-04-27,2024-05-11,In Progress,,Follow-up inspection
CA-0017,INC-0081,,FAC-002,EQ-0050,Corrective,Install/repair fixed guard and verify interlock function on Overhead Bridge Crane.,EMP-0003,2024-06-27,2024-09-25,Completed,2024-09-20,EHS audit confirmation
CA-0018,INC-0016,,FAC-003,EQ-0029,Preventive,Install secondary containment for chemical transfer near Forklift (Propane).,EMP-0008,2026-03-27,2026-05-26,Completed,2026-05-24,Retraining attendance record
CA-0019,INC-0008,,FAC-003,EQ-0047,Corrective,Update LOTO isolation points documentation for Conveyor System.,EMP-0024,2025-09-20,2025-10-20,Open,,EHS audit confirmation
CA-0020,INC-0025,,FAC-002,EQ-0048,Preventive,Install secondary containment for chemical transfer near Electrical Distribution Panel.,EMP-0014,2025-12-22,2026-01-21,Completed,2026-01-17,Follow-up inspection
CA-0021,INC-0070,,FAC-003,EQ-0007,Corrective,Reinforce confined space permit process for entries near Hydraulic Press.,EMP-0012,2024-11-29,2024-12-29,Open,,Follow-up inspection
CA-0022,INC-0032,,FAC-003,EQ-0002,Preventive,Reinforce hot work permit compliance near Overhead Bridge Crane.,EMP-0017,2025-10-16,2026-08-21,Overdue,,EHS audit confirmation
CA-0023,INC-0082,,FAC-001,EQ-0009,Corrective,Install fixed gas monitoring near Paint Booth / Coating Line confined space entry point.,EMP-0012,2024-12-26,2026-08-28,Overdue,,Maintenance work order closure
CA-0024,INC-0009,,FAC-002,EQ-0025,Corrective,Reinforce confined space permit process for entries near Paint Booth / Coating Line.,EMP-0029,2024-04-30,2024-05-30,In Progress,,Follow-up inspection
CA-0025,INC-0071,RISK-0002,FAC-001,EQ-0009,Preventive,Inspect and recalibrate relief valve and gauges on Paint Booth / Coating Line.,EMP-0023,2024-05-24,2024-08-22,Open,,Retraining attendance record
CA-0026,INC-0076,,FAC-003,EQ-0002,Preventive,Install additional ventilation/cooling near Overhead Bridge Crane; adjust work-rest cycles.,EMP-0014,2024-07-09,2026-08-11,Overdue,,Supervisor sign-off
CA-0027,INC-0003,,FAC-001,EQ-0012,Preventive,Secure overhead storage and inspect racking near Punch Press.,EMP-0010,2024-05-23,2024-06-22,In Progress,,Retraining attendance record
