evidence_id,related_entity_type,related_entity_id,file_name,file_type,description,uploaded_by_employee_id,uploaded_date
EVD-0001,Incident,INC-0010,INC-0010-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0010.,EMP-0028,2026-08-03
EVD-0002,Incident,INC-0013,INC-0013-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0013.,EMP-0023,2026-01-09
EVD-0003,Incident,INC-0014,INC-0014-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0014.,EMP-0017,2026-05-21
EVD-0004,Incident,INC-0015,INC-0015-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0015.,EMP-0027,2026-01-03
EVD-0005,Incident,INC-0016,INC-0016-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0016.,EMP-0020,2025-08-02
EVD-0006,Incident,INC-0023,INC-0023-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0023.,EMP-0023,2026-08-13
EVD-0007,Incident,INC-0025,INC-0025-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0025.,EMP-0009,2025-03-29
EVD-0008,Incident,INC-0031,INC-0031-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0031.,EMP-0006,2026-08-07
EVD-0009,Incident,INC-0032,INC-0032-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0032.,EMP-0017,2025-06-08
EVD-0010,Incident,INC-0035,INC-0035-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0035.,EMP-0027,2025-09-07
EVD-0011,Incident,INC-0037,INC-0037-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0037.,EMP-0026,2026-08-22
EVD-0012,Incident,INC-0039,INC-0039-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0039.,EMP-0023,2026-04-13
EVD-0013,Incident,INC-0040,INC-0040-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0040.,EMP-0002,2026-06-08
EVD-0014,Incident,INC-0041,INC-0041-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0041.,EMP-0007,2026-03-05
EVD-0015,Incident,INC-0042,INC-0042-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0042.,EMP-0004,2025-03-02
EVD-0016,Incident,INC-0044,INC-0044-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0044.,EMP-0011,2026-02-17
EVD-0017,Incident,INC-0045,INC-0045-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0045.,EMP-0030,2026-03-19
EVD-0018,Incident,INC-0046,INC-0046-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0046.,EMP-0004,2025-09-09
EVD-0019,Incident,INC-0047,INC-0047-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0047.,EMP-0002,2026-08-18
EVD-0020,Incident,INC-0048,INC-0048-scene-photo-01.jpg,image/jpeg,Scene photo documenting conditions at time of report for INC-0048.,EMP-0024,2025-12-30
